session_date,datetime,timezone,symbol,period,adjust,source,upstream_source,interface,source_version,retrieved_at,source_symbol,open,high,low,close,volume_shares,volume_lots,amount_cny,outstanding_share,turnover_ratio,raw_record_id
2003-11-18T00:00:00,2003-11-18T15:00:00+0800,Asia/Shanghai,600900.SH,1d,none,akshare,sina,stock_zh_a_daily,akshare-1.18.94-sina-bfq-cutoff-20260909,2026-09-10T16:57:39+08:00,sh600900,6.23,6.48,6.11,6.18,753863103.0,7538631.03,4693850007.0,1279300000.0,0.5892778105213788,research/topics/high_dividend_bond/datasets/raw/akshare/600900_akshare_stock_zh_a_daily_sina_bfq_20031118_20260909.csv#L2
2003-11-19T00:00:00,2003-11-19T15:00:00+0800,Asia/Shanghai,600900.SH,1d,none,akshare,sina,stock_zh_a_daily,akshare-1.18.94-sina-bfq-cutoff-20260909,2026-09-10T16:57:39+08:00,sh600900,6.16,6.28,6.15,6.24,96487383.0,964873.83,601303012.0,1279300000.0,0.07542201438286562,research/topics/high_dividend_bond/datasets/raw/akshare/600900_akshare_stock_zh_a_daily_sina_bfq_20031118_20260909.csv#L3
2003-11-20T00:00:00,2003-11-20T15:00:00+0800,Asia/Shanghai,600900.SH,1d,none,akshare,sina,stock_zh_a_daily,akshare-1.18.94-sina-bfq-cutoff-20260909,2026-09-10T16:57:39+08:00,sh600900,6.23,6.35,6.19,6.35,80413119.0,804131.19,504194744.0,1279300000.0,0.06285712420855155,research/topics/high_dividend_bond/datasets/raw/akshare/600900_akshare_stock_zh_a_daily_sina_bfq_20031118_20260909.csv#L4
2003-11-21T00:00:00,2003-11-21T15:00:00+0800,Asia/Shanghai,600900.SH,1d,none,akshare,sina,stock_zh_a_daily,akshare-1.18.94-sina-bfq-cutoff-20260909,2026-09-10T16:57:39+08:00,sh600900,6.36,6.53,6.32,6.32,83514726.0,835147.26,535389773.0,1279300000.0,0.0652815805518643,research/topics/high_dividend_bond/datasets/raw/akshare/600900_akshare_stock_zh_a_daily_sina_bfq_20031118_20260909.csv#L5
2003-11-24T00:00:00,2003-11-24T15:00:00+0800,Asia/Shanghai,600900.SH,1d,none,akshare,sina,stock_zh_a_daily,akshare-1.18.94-sina-bfq-cutoff-20260909,2026-09-10T16:57:39+08:00,sh600900,6.32,6.67,6.32,6.65,67664675.0,676646.75,439502309.0,1279300000.0,0.05289195263034472,research/topics/high_dividend_bond/datasets/raw/akshare/600900_akshare_stock_zh_a_daily_sina_bfq_20031118_20260909.csv#L6
2003-11-25T00:00:00,2003-11-25T15:00:00+0800,Asia/Shanghai,600900.SH,1d,none,akshare,sina,stock_zh_a_daily,akshare-1.18.94-sina-bfq-cutoff-20260909,2026-09-10T16:57:39+08:00,sh600900,6.65,6.73,6.56,6.61,73092530.0,730925.3,486006595.0,1279300000.0,0.05713478464785429,research/topics/high_dividend_bond/datasets/raw/akshare/600900_akshare_stock_zh_a_daily_sina_bfq_20031118_20260909.csv#L7
2003-11-26T00:00:00,2003-11-26T15:00:00+0800,Asia/Shanghai,600900.SH,1d,none,akshare,sina,stock_zh_a_daily,akshare-1.18.94-sina-bfq-cutoff-20260909,2026-09-10T16:57:39+08:00,sh600900,6.61,6.73,6.56,6.62,30557854.0,305578.54,202771302.0,1279300000.0,0.023886386305010554,research/topics/high_dividend_bond/datasets/raw/akshare/600900_akshare_stock_zh_a_daily_sina_bfq_20031118_20260909.csv#L8
2003-11-27T00:00:00,2003-11-27T15:00:00+0800,Asia/Shanghai,600900.SH,1d,none,akshare,sina,stock_zh_a_daily,akshare-1.18.94-sina-bfq-cutoff-20260909,2026-09-10T16:57:39+08:00,sh600900,6.62,6.71,6.57,6.66,34184475.0,341844.75,227201858.0,1279300000.0,0.026721234268740717,research/topics/high_dividend_bond/datasets/raw/akshare/600900_akshare_stock_zh_a_daily_sina_bfq_20031118_20260909.csv#L9
2003-11-28T00:00:00,2003-11-28T15:00:00+0800,Asia/Shanghai,600900.SH,1d,none,akshare,sina,stock_zh_a_daily,akshare-1.18.94-sina-bfq-cutoff-20260909,2026-09-10T16:57:39+08:00,sh600900,6.67,6.86,6.67,6.82,46420361.0,464203.61,315038270.0,1279300000.0,0.036285750801219416,research/topics/high_dividend_bond/datasets/raw/akshare/600900_akshare_stock_zh_a_daily_sina_bfq_20031118_20260909.csv#L10
2003-12-01T00:00:00,2003-12-01T15:00:00+0800,Asia/Shanghai,600900.SH,1d,none,akshare,sina,stock_zh_a_daily,akshare-1.18.94-sina-bfq-cutoff-20260909,2026-09-10T16:57:39+08:00,sh600900,6.82,7.02,6.81,7.0,60715269.0,607152.69,422053736.0,1279300000.0,0.04745975846165872,research/topics/high_dividend_bond/datasets/raw/akshare/600900_akshare_stock_zh_a_daily_sina_bfq_20031118_20260909.csv#L11
2003-12-02T00:00:00,2003-12-02T15:00:00+0800,Asia/Shanghai,600900.SH,1d,none,akshare,sina,stock_zh_a_daily,akshare-1.18.94-sina-bfq-cutoff-20260909,2026-09-10T16:57:39+08:00,sh600900,7.02,7.06,6.97,7.0,49673663.0,496736.63,348166234.0,1279300000.0,0.038828783709841316,research/topics/high_dividend_bond/datasets/raw/akshare/600900_akshare_stock_zh_a_daily_sina_bfq_20031118_20260909.csv#L12
2003-12-03T00:00:00,2003-12-03T15:00:00+0800,Asia/Shanghai,600900.SH,1d,none,akshare,sina,stock_zh_a_daily,akshare-1.18.94-sina-bfq-cutoff-20260909,2026-09-10T16:57:39+08:00,sh600900,7.0,7.69,6.99,7.38,123634920.0,1236349.2,899776595.0,1279300000.0,0.0966426326897522,research/topics/high_dividend_bond/datasets/raw/akshare/600900_akshare_stock_zh_a_daily_sina_bfq_20031118_20260909.csv#L13
